node1,node2,serial class,NBI class,structure member,X,Y,objectid,structure_number_008,record_type_005a,route_prefix_005b,service_level_005c,route_number_005d,direction_005e,highway_district_002,county_code_003,place_code_004,features_desc_006a,critical_facility_006b,facility_carried_007,location_009,min_vert_clr_010,kilopoint_011,base_hwy_network_012,lrs_inv_route_013a,subroute_no_013b,lat_016,long_017,detour_kilos_019,toll_020,maintenance_021,owner_022,functional_class_026,year_built_027,traffic_lanes_on_028a,traffic_lanes_und_028b,adt_029,year_adt_030,design_load_031,appr_width_mt_032,median_code_033,degrees_skew_034,structure_flared_035,railings_036a,transitions_036b,appr_rail_036c,appr_rail_end_036d,history_037,navigation_038,nav_vert_clr_mt_039,nav_horr_clr_mt_040,open_closed_posted_041,service_on_042a,service_und_042b,structure_kind_043a,structure_type_043b,appr_kind_044a,appr_type_044b,main_unit_spans_045,appr_spans_046,horr_clr_mt_047,max_span_len_mt_048,structure_len_mt_049,left_curb_mt_050a,right_curb_mt_050b,roadway_width_mt_051,deck_width_mt_052,vert_clr_over_mt_053,vert_clr_und_ref_054a,vert_clr_und_054b,lat_und_ref_055a,lat_und_mt_055b,left_lat_und_mt_056,deck_cond_058,superstructure_cond_059,substructure_cond_060,channel_cond_061,culvert_cond_062,opr_rating_meth_063,operating_rating_064,inv_rating_meth_065,inventory_rating_066,structural_eval_067,deck_geometry_eval_068,undclrence_eval_069,posting_eval_070,waterway_eval_071,appr_road_eval_072,work_proposed_075a,work_done_by_075b,imp_len_mt_076,date_of_inspect_090,inspect_freq_months_091,fracture_092a,undwater_look_see_092b,spec_inspect_092c,fracture_last_date_093a,undwater_last_date_093b,spec_last_date_093c,bridge_imp_cost_094,roadway_imp_cost_095,total_imp_cost_096,year_of_imp_097,other_state_code_098a,other_state_pcnt_098b,othr_state_struc_no_099,strahnet_highway_100,parallel_structure_101,traffic_direction_102,temp_structure_103,highway_system_104,federal_lands_105,year_reconstructed_106,deck_structure_type_107,surface_type_108a,membrane_type_108b,deck_protection_108c,percent_adt_truck_109,national_network_110,pier_protection_111,bridge_len_ind_112,scour_critical_113,future_adt_114,year_of_future_adt_115,min_nav_clr_mt_116,fed_agency,submitted_by,bridge_condition,lowest_rating,deck_area,longdd,latdd,longdd_1,latdd_1
21,24,2,6,37 0125,-13574335.81,4485229.006,113952,37 0125,1,1,1,880,0,4,85,68000,'HEDDING STREET',,'INTERSTATE 880','04-SCL-880-0.88-SJS',100,1,1,880,1,37194862,121562520,2,3,1,1,12,1959,8,4,163000,2017,5,40,2,16,0,1,1,1,1,5,N,0,0,A,1,1,1,5,1,4,1,2,14,19,39,0,0,40,41,100,H,4,H,2,0,7,7,7,N,N,1,46,1,28,7,9,4,5,N,8,,,,319,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,1994,1,0,0,0,6,1,,Y,N,235887,2038,,N,6,G,7,1599,,,,
21,24,3,8,37 0191K,-13574368.59,4483702.757,114004,37 0191K,1,1,7,880,0,4,85,68000,'S880-N&S280 CONNECTOR RP',,'STEVENS CR BL-S280','04-SCL-880-0.15-SJS',100,0,0,,0,37190937,121562626,6,3,1,1,12,1963,2,2,14500,2009,5,8,0,0,0,1,1,1,1,5,N,0,0,A,1,1,2,5,0,0,3,0,8,43,101,1,1,8,10,100,H,5,H,3,2,5,5,7,N,N,8,40,8,31,5,3,9,5,N,6,,,,319,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,1,0,0,1,0,0,0,2,1,,Y,N,26721,2041,,N,6,F,5,1046,,,,
22,25,0,21,37 0311,-13569669.98,4486482.835,114131,37 0311,1,3,1,87,0,4,85,68000,'UP RR  AMTRAK  STREETS',,'STATE ROUTE 87','04-SCL-087-6.27-SJS',100,6,1,87,1,37202086,121535431,2,3,1,1,12,1988,8,10,99000,2009,6,46,3,0,1,1,0,0,0,5,N,0,0,A,1,4,6,5,0,0,12,0,25,40,396,0,0,46,48,100,H,7,H,0,1,5,7,7,N,N,A,54,A,32,7,9,3,5,N,8,,,,120,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,2003,1,0,0,0,0,0,,Y,N,93352,2040,,N,6,F,5,19033,,,,
22,25,1,21,37 0319,-13569545.67,4486154.196,114136,37 0319,1,3,1,87,0,4,85,68000,'JULIAN STREET',,'STATE ROUTE 87','04-SCL-087-6.10-SJS',100,6,1,87,1,37201241,121535029,2,3,1,1,12,1988,8,9,99000,2009,6,50,3,13,0,1,0,0,0,5,N,0,0,A,1,1,6,5,0,0,2,0,24,36,67,0,0,50,52,100,H,5,H,2,3,5,7,7,N,N,A,54,A,32,7,9,4,5,N,8,,,,120,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,2007,1,0,0,0,0,0,,Y,N,93352,2040,,N,6,F,5,3491,,,,
22,25,2,21,37 0308,-13569409,4485277.228,114129,37 0308,1,3,1,87,0,4,85,68000,'GUADALUPE RIVER & ROADS',,'STATE ROUTE 87','04-SCL-087-5.67-SJS',100,6,1,87,1,37194986,121534587,2,3,1,1,12,1978,8,6,99000,2009,6,37,3,99,1,1,0,0,0,5,0,0,0,A,1,6,6,5,0,0,7,0,22,48,310,0,0,37,38,100,H,5,H,0,0,5,5,7,8,N,A,54,A,32,5,7,3,5,9,8,,,,120,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,2008,1,0,0,0,0,0,,Y,8,93352,2040,,N,6,F,5,11850,,,,
22,25,3,19,37 0312,-13569524.34,4485914.627,114132,37 0312,1,3,1,87,0,4,85,68000,'N ALMADEN BOULEVARD',,'STATE ROUTE 87','04-SCL-087-5.99-SJS',100,6,1,87,1,37200625,121534960,2,3,1,1,12,1988,8,2,99000,2009,6,45,3,7,1,1,0,0,0,5,N,0,0,A,1,1,5,5,0,0,1,0,29,42,43,0,0,45,47,100,H,5,H,2,0,5,7,5,N,N,A,54,A,32,5,9,4,5,N,8,,,,120,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,2007,1,0,0,0,0,0,,Y,N,93352,2040,,N,6,F,5,1994,,,,
22,25,4,8,37 0310,-13569340.35,4485078.899,114130,37 0310,1,3,1,87,0,4,85,68000,'PARK AVENUE',,'STATE ROUTE 87','04-SCL-087-5.56-SJS',100,6,1,87,1,37194476,121534365,2,3,1,1,12,1978,7,4,99000,2009,6,40,3,7,1,1,1,0,0,5,N,0,0,A,1,1,2,5,0,0,2,0,26,29,58,0,0,38,41,100,H,6,H,6,6,7,7,7,N,N,8,54,8,42,7,9,6,5,N,8,,,,118,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,1988,1,0,0,0,0,0,,Y,N,92118,2036,,N,6,G,7,2375,,,,
22,25,5,18,37 0274,-13569221.61,4484901.573,114089,37 0274,1,3,1,87,0,4,85,68000,'WEST SAN CARLOS STREET',,'RTE 87 & CONNECTOR','04-SCL-087-5.45-SJS',100,5,1,87,1,37194020,121533981,1,3,1,1,12,1971,11,5,99000,2009,6,70,3,3,1,1,0,0,0,5,N,0,0,A,1,1,5,5,0,0,1,0,34,44,44,0,0,70,71,100,H,5,H,1,0,7,7,7,N,N,A,54,A,32,7,9,3,5,N,8,,,,120,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,2003,1,0,0,0,0,0,,Y,N,93352,2040,,N,6,G,7,3127,,,,
23,25,0,20,37 0285L,-13564543.1,4486534.174,114102,37 0285L,1,1,1,680,0,4,85,68000,'U.S. HIGHWAY 101',,'S680-N280','04-SCL-680-M0.01-SJS',5,0,1,680,1,37202218,121510851,0,3,1,1,11,1974,4,9,80000,2009,6,23,0,3,1,0,1,1,1,5,N,0,0,A,1,1,6,5,0,0,3,0,20,33,83,0,0,20,21,5,H,5,H,6,5,7,7,7,N,N,8,47,8,33,7,6,6,5,N,8,,,,719,24,N  ,N  ,N  ,,,,,,,,,,               ,2,L,1,,1,0,0,1,0,0,0,2,1,,Y,N,179372,2039,,N,6,G,7,1749,,,,
23,25,0,20,37 0285R,-13564519.91,4486506.56,114103,37 0285R,1,1,1,680,0,4,85,68000,'U.S. HIGHWAY 101',,'S280-N680','04-SCL-680-M0.01-SJS',5,0,1,680,1,37202147,121510776,0,3,1,1,11,1974,4,9,80000,2009,6,20,0,2,0,0,1,1,1,5,N,0,0,A,1,1,6,5,0,0,3,0,20,33,83,0,0,20,21,5,H,5,H,6,5,5,7,7,N,N,8,52,8,34,7,6,6,5,N,8,,,,719,24,N  ,N  ,N  ,,,,,,,,,,               ,1,R,1,,1,0,0,1,0,0,0,2,1,,Y,N,179372,2039,,N,6,F,5,1716,,,,
23,25,0,20,37 0283,-13565927.17,4485495.394,114099,37 0283,1,1,1,280,0,4,85,68000,'ABANDONED UP RR ROW',,'INTERSTATE 280','04-SCL-280-R0.89-SJS',100,1,1,280,1,37195547,121515327,3,3,1,1,11,1972,10,0,238000,2009,6,49,3,46,0,0,0,0,0,5,N,0,0,A,1,0,6,5,0,0,4,0,25,46,135,0,0,49,51,100,N,0,N,0,0,7,7,7,N,N,A,54,A,32,7,9,N,5,N,8,,,,119,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,2000,1,0,0,0,3,1,,Y,N,288780,2038,,N,6,G,7,6821,,,,
23,25,1,20,37 0281,-13566619.52,4485034.567,114097,37 0281,1,1,1,280,0,4,85,68000,'10TH & 11TH STREET',,'INTERSTATE 280','04-SCL-280-R1.29-SJS',100,1,1,280,1,37194362,121521566,0,3,1,1,11,1972,10,6,238000,2009,6,49,3,99,1,0,0,0,0,5,N,0,0,A,1,1,6,5,0,0,3,0,25,35,104,0,0,49,50,100,H,5,H,3,3,7,7,7,N,N,A,54,A,32,7,9,5,5,N,8,,,,119,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,2000,1,0,0,0,3,1,,Y,N,288780,2038,,N,6,G,7,5175,,,,
