node1,node2,serial class,NBI class,structure member,X,Y,objectid,structure_number_008,record_type_005a,route_prefix_005b,service_level_005c,route_number_005d,direction_005e,highway_district_002,county_code_003,place_code_004,features_desc_006a,critical_facility_006b,facility_carried_007,location_009,min_vert_clr_010,kilopoint_011,base_hwy_network_012,lrs_inv_route_013a,subroute_no_013b,lat_016,long_017,detour_kilos_019,toll_020,maintenance_021,owner_022,functional_class_026,year_built_027,traffic_lanes_on_028a,traffic_lanes_und_028b,adt_029,year_adt_030,design_load_031,appr_width_mt_032,median_code_033,degrees_skew_034,structure_flared_035,railings_036a,transitions_036b,appr_rail_036c,appr_rail_end_036d,history_037,navigation_038,nav_vert_clr_mt_039,nav_horr_clr_mt_040,open_closed_posted_041,service_on_042a,service_und_042b,structure_kind_043a,structure_type_043b,appr_kind_044a,appr_type_044b,main_unit_spans_045,appr_spans_046,horr_clr_mt_047,max_span_len_mt_048,structure_len_mt_049,left_curb_mt_050a,right_curb_mt_050b,roadway_width_mt_051,deck_width_mt_052,vert_clr_over_mt_053,vert_clr_und_ref_054a,vert_clr_und_054b,lat_und_ref_055a,lat_und_mt_055b,left_lat_und_mt_056,deck_cond_058,superstructure_cond_059,substructure_cond_060,channel_cond_061,culvert_cond_062,opr_rating_meth_063,operating_rating_064,inv_rating_meth_065,inventory_rating_066,structural_eval_067,deck_geometry_eval_068,undclrence_eval_069,posting_eval_070,waterway_eval_071,appr_road_eval_072,work_proposed_075a,work_done_by_075b,imp_len_mt_076,date_of_inspect_090,inspect_freq_months_091,fracture_092a,undwater_look_see_092b,spec_inspect_092c,fracture_last_date_093a,undwater_last_date_093b,spec_last_date_093c,bridge_imp_cost_094,roadway_imp_cost_095,total_imp_cost_096,year_of_imp_097,other_state_code_098a,other_state_pcnt_098b,othr_state_struc_no_099,strahnet_highway_100,parallel_structure_101,traffic_direction_102,temp_structure_103,highway_system_104,federal_lands_105,year_reconstructed_106,deck_structure_type_107,surface_type_108a,membrane_type_108b,deck_protection_108c,percent_adt_truck_109,national_network_110,pier_protection_111,bridge_len_ind_112,scour_critical_113,future_adt_114,year_of_future_adt_115,min_nav_clr_mt_116,fed_agency,submitted_by,bridge_condition,lowest_rating,deck_area,longdd,latdd,longdd_1,latdd_1
28,31,2,19,37 0418R,-13566669.3,4479827.662,114231,37 0418R,1,3,1,87,0,4,85,0,'MASONIC DRIVE',,'NB STATE ROUTE 87','04-SCL-087-2.64',100,3,1,87,1,37172969,121521727,2,3,1,1,12,1993,3,2,55000,2009,6,16,0,21,1,1,0,0,0,5,N,0,0,A,1,1,5,5,0,0,1,0,16,34,35,0,0,16,17,100,H,5,H,2,0,7,5,5,N,N,A,54,A,32,5,6,4,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,R,1,,1,0,0,1,0,0,0,1,0,,Y,N,80762,2039,,N,6,F,5,598,,,,
28,31,3,19,37 0361L,-13566627.56,4479566.86,114179,37 0361L,1,3,1,87,0,4,85,68000,'CAROL DRIVE',,'SB STATE ROUTE 87','04-SCL-087-2.52-SJS',100,3,1,87,1,37172298,121521592,2,3,1,1,12,1993,3,2,55000,2009,6,20,0,8,0,1,1,1,1,5,N,0,0,A,1,1,5,5,0,0,1,0,20,25,26,0,0,20,21,100,H,7,H,1,0,7,7,5,N,N,A,54,A,32,5,9,4,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,L,1,,1,0,0,1,6,0,0,1,0,,Y,N,81301,2041,,N,6,F,5,536,,,,
28,31,3,19,37 0361R,-13566587.05,4479574.633,114180,37 0361R,1,3,1,87,0,4,85,68000,'CAROL DRIVE',,'NB STATE ROUTE 87','04-SCL-087-2.52-SJS',100,3,1,87,1,37172318,121521461,2,3,1,1,12,1993,3,2,55000,2009,6,17,0,8,0,1,1,0,0,5,N,0,0,A,1,1,5,5,0,0,1,0,16,26,26,0,0,16,17,100,H,5,H,1,0,5,7,5,N,N,A,54,A,32,5,6,4,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,R,2,,1,0,0,1,0,0,0,1,0,,Y,N,81301,2041,,N,6,F,5,454,,,,
28,31,4,19,37 0417L,-13566063.85,4478484.074,114228,37 0417L,1,3,1,87,0,4,85,0,'CANOAS CREEK',,'SB STATE ROUTE 87','04-SCL-087-1.92',100,2,1,87,1,37165512,121515769,2,3,1,1,12,1993,3,0,55000,2009,6,16,0,21,0,1,1,1,1,5,0,0,0,A,1,5,5,5,0,0,1,0,16,34,34,0,0,16,17,100,N,0,N,0,0,7,7,5,8,N,A,54,A,32,5,6,N,5,8,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,L,1,,1,0,0,1,0,0,0,1,0,,Y,8,80762,2039,,N,6,F,5,595,,,,
28,31,4,19,37 0417R,-13566029.22,4478514.387,114229,37 0417R,1,3,1,87,0,4,85,0,'CANOAS CREEK',,'NB STATE ROUTE 87','04-SCL-087-1.92',100,2,1,87,1,37165590,121515657,2,3,1,1,12,1993,4,0,55000,2009,6,20,0,21,0,1,1,1,1,5,0,0,0,A,1,5,5,5,0,0,1,0,20,33,34,0,0,20,21,100,N,0,N,0,0,7,7,5,8,N,A,54,A,32,5,5,N,5,8,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,R,1,,1,0,0,1,0,0,0,1,0,,Y,8,80762,2039,,N,6,F,5,698,,,,
28,31,5,19,37 0416R,-13565902.43,4478167.732,114227,37 0416R,1,3,1,87,0,4,85,68000,'HILLSDALE AVENUE',,'NB STATE ROUTE 87','04-SCL-087-1.73-SJS',100,2,1,87,1,37164698,121515247,2,3,1,1,12,1993,4,5,55000,2009,6,21,0,3,1,1,1,1,1,5,N,0,0,A,1,1,5,5,0,0,1,0,21,28,29,0,0,21,22,100,H,5,H,2,0,5,7,5,N,N,A,54,A,32,5,6,4,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,R,1,,1,0,0,1,0,0,0,1,0,,Y,N,81301,2041,,N,6,F,5,636,,,,
28,31,6,21,37 0415L,-13565744.73,4477402.566,114223,37 0415L,1,3,1,87,0,4,85,68000,'CAPITOL EXPRESSWAY',,'STATE ROUTE 87 SB','04-SCL-087-1.34-SJS',100,1,1,87,1,37162729,121514737,2,3,1,1,12,1993,3,9,51000,2009,6,16,0,18,0,1,0,0,0,5,N,0,0,A,1,1,6,5,0,0,2,0,16,41,78,0,0,16,17,100,H,5,H,6,1,5,7,5,N,N,A,54,A,32,5,6,3,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,L,1,,1,0,0,1,0,0,0,0,0,,Y,N,73841,2039,,N,6,F,5,1355,,,,
28,31,6,21,37 0415R,-13565702.37,4477396.737,114224,37 0415R,1,3,1,87,0,4,85,68000,'CAPITOL EXPRESSWAY',,'STATE ROUTE 87 NB','04-SCL-087-1.34-SJS',100,1,1,87,1,37162714,121514600,2,3,1,1,12,1993,2,9,51000,2009,6,16,0,18,0,1,0,0,0,5,N,0,0,A,1,1,6,5,0,0,2,0,16,41,78,0,0,16,17,100,H,6,H,6,1,5,7,5,N,N,A,54,A,32,5,9,3,5,N,8,,,,419,24,N  ,N  ,N  ,,,,,,,,,,               ,0,R,1,,1,0,0,1,0,0,0,0,0,,Y,N,73841,2039,,N,6,F,5,1355,,,,
30,31,7,10,37C0044,-13567288.36,4477580.931,114397,37C0044,1,4,1,0,0,4,85,68000,'GUADALUPE RIV (CAPITOL)',,'CAPITOL EXPWY(G21)','NEAR ALMADEN RD',100,0,1,0,0,37163188,121523729,2,3,4,4,12,1966,6,0,56050,2009,5,30,3,16,0,1,0,0,0,5,0,0,0,A,1,5,2,4,0,0,3,0,15,13,39,0,0,30,34,100,N,0,N,0,0,7,7,7,8,N,8,34,8,27,6,9,N,5,7,7,,,,619,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,0,1,6,0,0,5,0,,Y,5,66512,2037,0,N,6,G,7,1340,,,,
31,32,0,18,37C0721,-13562904.54,4478142.083,114803,37C0721,1,5,1,0,0,4,85,68000,'MONTEREY HWY',,'CAPITOL EXPRESSWAY','0.3 MI NE SNELL AVE',100,0,1,0,0,37164632,121501552,2,3,4,4,12,1966,6,7,43338,1998,5,33,2,0,0,0,0,0,0,5,N,0,0,A,1,4,5,2,1,4,3,2,16,24,94,1,0,30,34,100,R,7,H,4,1,7,7,7,N,N,1,63,1,32,7,9,5,5,N,8,,,,418,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,1969,1,6,0,0,2,0,,Y,N,57027,2036,,N,6,G,7,3202,,,,
